epoch_day,534_wt,570_wt,597_wt,533_wt,523_wt,517_wt,520_wt,531_wt,554_wt,527_wt,522_wt,572_wt,586_wt,548_wt,552_wt,534_at,570_at,597_at,533_at,523_at,517_at,520_at,531_at,554_at,527_at,522_at,572_at,586_at,548_at,552_at,has_nan
14245,5.164479166666667,5.130833333333333,3.966572916666667,4.623114583333334,3.6358333333333337,5.867708333333333,5.0025,4.560416666666667,3.8446874999999996,4.475677083333333,3.8728125,3.113309278350515,5.281944444444445,6.200729166666666,2.8384375,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,False
14246,5.393020833333334,5.560104166666666,3.9554375,4.572525773195877,3.9633333333333334,5.884583333333333,5.343541666666667,4.541145833333333,4.335,4.6795937499999996,4.072604166666666,3.461145833333333,5.203472222222222,6.086458333333333,2.8757291666666664,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,False
14247,4.6053125,4.706979166666667,3.4971145833333335,4.056729166666667,2.6407291666666666,5.099895833333333,4.733092783505155,4.2621875,3.570520833333333,3.7985208333333333,2.7841666666666662,2.205833333333333,4.955972222222222,4.66085,2.889583333333333,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,-5.1,False
14248,4.639375,4.375208333333333,3.361291666666667,4.11859375,2.3480208333333334,5.155520833333333,4.784479166666666,4.295520833333334,3.3832291666666667,3.65890625,2.627083333333333,1.9382291666666667,4.824583333333333,4.814020618556701,2.6032291666666665,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,-5.3,False
14249,4.581458333333333,4.1996875000000005,3.256229166666667,4.056697916666667,1.9514583333333333,5.105104166666666,4.7384375,4.228854166666666,2.954166666666667,3.49346875,2.245833333333333,1.7992708333333332,4.688958333333334,4.776278350515463,2.3521875,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,-5.8,False
14250,4.626875,4.218541666666667,3.2099375,3.98653125,2.1335416666666664,5.096770833333333,4.8347422680412375,4.1425,2.8171874999999997,3.5994687499999998,2.459375,1.6272916666666666,4.549305555555556,4.55259793814433,2.8091666666666666,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,False
14251,4.4884375,4.203541666666667,2.9013229166666665,3.7407916666666665,2.0259375,4.954479166666666,4.8315567010309275,3.891458333333333,2.5792708333333336,3.37325,2.315729166666667,1.4602083333333333,4.418263888888889,4.144536082474227,2.8702083333333337,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,False
14252,4.0203125,3.6086458333333336,2.47328,3.4567187500000003,1.1809375,4.649375,4.665520833333333,3.7501041666666666,1.8525,2.5609375,1.6665625000000002,0.7886458333333333,4.315902777777778,3.456980392156863,2.6382291666666666,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,-6.5,False
14253,4.201041666666667,3.677395833333333,2.3830618556701033,3.6433645833333332,1.4172164948453607,4.929375,4.928556701030928,3.778020833333333,2.045104166666667,3.1039583333333334,1.9275,1.3017708333333333,4.380902777777778,4.226262626262626,2.3294791666666668,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,-5.6,False
14254,4.307604166666667,4.042916666666667,2.669166666666667,3.381385416666667,1.7794791666666667,4.950520833333333,5.082604166666667,3.369270833333333,2.5171875,3.232083333333333,2.1791666666666667,1.4273958333333334,4.260555555555555,4.41,2.278958333333333,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,False
14255,4.176666666666667,4.094895833333333,2.6453124999999997,3.1938645833333332,1.75375,5.001145833333333,4.908541666666667,3.1371875,2.7538541666666667,3.0647916666666664,2.1636458333333333,1.4157291666666667,4.3682638888888885,4.409270833333333,2.1670833333333333,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,False
14256,4.078125,4.0346874999999995,2.539895833333333,2.8328124999999997,1.4594791666666664,4.7804166666666665,4.613683673469388,2.6476041666666665,2.6283333333333334,3.1322916666666667,1.8428125,1.2548958333333333,4.272152777777778,4.162959183673469,2.152604166666667,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,False
14257,3.7357291666666668,3.5853608247422684,2.3984536082474226,2.45571875,0.7760416666666666,4.419791666666667,4.538958333333333,2.5269791666666666,1.9413541666666667,2.9778125,1.42375,0.8008333333333333,4.280694444444444,3.891734693877551,2.464583333333333,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,False
14258,3.9390625,3.24375,2.4213541666666667,2.7185208333333333,0.8320000000000001,4.921979166666667,5.224739583333333,2.65,1.8851041666666666,3.2084375,1.6352083333333332,0.6569791666666667,4.364444444444445,4.099072164948454,2.5132291666666666,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,False
14259,4.859166666666667,4.759166666666666,3.0673958333333338,2.9598125,2.7072916666666664,6.1492708333333335,6.518867346938776,2.5205208333333333,2.95375,4.489270833333333,2.994895833333333,2.3838453608247425,4.526111111111111,5.58075,2.4785416666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
14260,5.137395833333334,5.553333333333334,3.2146875,3.0844791666666667,3.3613541666666666,6.087291666666666,6.3879166666666665,2.7298958333333334,3.351354166666667,4.383020833333333,3.5578125000000003,2.7746875,4.624375,5.742267326732674,2.465625,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,False
14261,4.4773958333333335,4.813229166666667,2.5646875000000002,2.8689479166666665,2.2694791666666667,5.338333333333334,5.578701030927835,2.748125,3.0942708333333333,3.5334375,2.649375,1.9434375,4.530486111111111,4.804765306122449,2.5527083333333334,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,-0.7,False
14262,4.369375,4.623125,2.5776041666666667,2.5101875000000002,2.2672916666666665,5.609166666666667,5.9011458333333335,2.261979166666667,3.4696874999999996,3.4557291666666665,2.6178125,1.8947916666666667,4.541597222222222,4.5915050505050505,2.5544791666666664,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,False
14263,5.31625,5.4558333333333335,3.1329166666666666,3.357824742268041,3.453125,6.092395833333334,6.220938144329898,2.46875,3.9752083333333332,4.444791666666666,3.4338541666666664,3.6475000000000004,4.880694444444445,5.564838383838383,2.5621875,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,False
14264,4.983958333333333,4.4778125,3.453333333333333,3.735572916666667,3.8652083333333334,4.2365625,3.117680412371134,2.8370833333333336,4.344270833333334,4.0940625,3.7245833333333334,3.6685416666666666,4.680694444444445,5.188683673469388,2.5784375,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,False
